rule_set_id,instrument_type,effective_from,effective_to,price_min_inclusive,price_max_exclusive,tick_size,currency,official_source_name,official_document_number,official_document_date,official_effective_date,official_source_url,source_checksum,notes
BIST_EQUITY_PRE_20231106_V1,EQUITY,2020-03-13,2023-11-05,0.01,20,0.01,TRY,Borsa İstanbul,E-18454353-100.04.02-19412,2023-08-28,2023-11-06,https://www.borsaistanbul.com/files/duyuru-19412.pdf,cb0a1e0091d799186e9ae67b7badc8483f2166d9b66ed03c7bd55e205a0702d3,Official OLD TEXT; repository validity starts at the model-period boundary 2020-03-13 and does not assert the tariff's original introduction date.
BIST_EQUITY_PRE_20231106_V1,EQUITY,2020-03-13,2023-11-05,20,50,0.02,TRY,Borsa İstanbul,E-18454353-100.04.02-19412,2023-08-28,2023-11-06,https://www.borsaistanbul.com/files/duyuru-19412.pdf,cb0a1e0091d799186e9ae67b7badc8483f2166d9b66ed03c7bd55e205a0702d3,Official OLD TEXT; repository validity starts at the model-period boundary 2020-03-13 and does not assert the tariff's original introduction date.
BIST_EQUITY_PRE_20231106_V1,EQUITY,2020-03-13,2023-11-05,50,100,0.05,TRY,Borsa İstanbul,E-18454353-100.04.02-19412,2023-08-28,2023-11-06,https://www.borsaistanbul.com/files/duyuru-19412.pdf,cb0a1e0091d799186e9ae67b7badc8483f2166d9b66ed03c7bd55e205a0702d3,Official OLD TEXT; repository validity starts at the model-period boundary 2020-03-13 and does not assert the tariff's original introduction date.
BIST_EQUITY_PRE_20231106_V1,EQUITY,2020-03-13,2023-11-05,100,,0.10,TRY,Borsa İstanbul,E-18454353-100.04.02-19412,2023-08-28,2023-11-06,https://www.borsaistanbul.com/files/duyuru-19412.pdf,cb0a1e0091d799186e9ae67b7badc8483f2166d9b66ed03c7bd55e205a0702d3,Official OLD TEXT; repository validity starts at the model-period boundary 2020-03-13 and does not assert the tariff's original introduction date.
BIST_EQUITY_FROM_20231106_V1,EQUITY,2023-11-06,,0.01,20,0.01,TRY,Borsa İstanbul,E-18454353-100.04.02-19412,2023-08-28,2023-11-06,https://www.borsaistanbul.com/files/duyuru-19412.pdf,cb0a1e0091d799186e9ae67b7badc8483f2166d9b66ed03c7bd55e205a0702d3,Official NEW TEXT effective 2023-11-06.
BIST_EQUITY_FROM_20231106_V1,EQUITY,2023-11-06,,20,50,0.02,TRY,Borsa İstanbul,E-18454353-100.04.02-19412,2023-08-28,2023-11-06,https://www.borsaistanbul.com/files/duyuru-19412.pdf,cb0a1e0091d799186e9ae67b7badc8483f2166d9b66ed03c7bd55e205a0702d3,Official NEW TEXT effective 2023-11-06.
BIST_EQUITY_FROM_20231106_V1,EQUITY,2023-11-06,,50,100,0.05,TRY,Borsa İstanbul,E-18454353-100.04.02-19412,2023-08-28,2023-11-06,https://www.borsaistanbul.com/files/duyuru-19412.pdf,cb0a1e0091d799186e9ae67b7badc8483f2166d9b66ed03c7bd55e205a0702d3,Official NEW TEXT effective 2023-11-06.
BIST_EQUITY_FROM_20231106_V1,EQUITY,2023-11-06,,100,250,0.10,TRY,Borsa İstanbul,E-18454353-100.04.02-19412,2023-08-28,2023-11-06,https://www.borsaistanbul.com/files/duyuru-19412.pdf,cb0a1e0091d799186e9ae67b7badc8483f2166d9b66ed03c7bd55e205a0702d3,Official NEW TEXT effective 2023-11-06.
BIST_EQUITY_FROM_20231106_V1,EQUITY,2023-11-06,,250,500,0.25,TRY,Borsa İstanbul,E-18454353-100.04.02-19412,2023-08-28,2023-11-06,https://www.borsaistanbul.com/files/duyuru-19412.pdf,cb0a1e0091d799186e9ae67b7badc8483f2166d9b66ed03c7bd55e205a0702d3,Official NEW TEXT effective 2023-11-06.
BIST_EQUITY_FROM_20231106_V1,EQUITY,2023-11-06,,500,1000,0.50,TRY,Borsa İstanbul,E-18454353-100.04.02-19412,2023-08-28,2023-11-06,https://www.borsaistanbul.com/files/duyuru-19412.pdf,cb0a1e0091d799186e9ae67b7badc8483f2166d9b66ed03c7bd55e205a0702d3,Official NEW TEXT effective 2023-11-06.
BIST_EQUITY_FROM_20231106_V1,EQUITY,2023-11-06,,1000,2500,1.00,TRY,Borsa İstanbul,E-18454353-100.04.02-19412,2023-08-28,2023-11-06,https://www.borsaistanbul.com/files/duyuru-19412.pdf,cb0a1e0091d799186e9ae67b7badc8483f2166d9b66ed03c7bd55e205a0702d3,Official NEW TEXT effective 2023-11-06.
BIST_EQUITY_FROM_20231106_V1,EQUITY,2023-11-06,,2500,,2.50,TRY,Borsa İstanbul,E-18454353-100.04.02-19412,2023-08-28,2023-11-06,https://www.borsaistanbul.com/files/duyuru-19412.pdf,cb0a1e0091d799186e9ae67b7badc8483f2166d9b66ed03c7bd55e205a0702d3,Official NEW TEXT effective 2023-11-06.
