security_id,current_ticker,provider_tickers_queried,requested_start_date,requested_end_date,isyatirim_status,yfinance_status,nominal_status,status,raw_snapshot_ids,nominal_snapshot_id,identity_snapshot_id,clean_snapshot_id,label_snapshot_id,first_observed_date,last_observed_date,observed_session_count,missing_session_count,longest_internal_gap_sessions,collection_complete,failure_stage,failure_class,failure_reason,last_successful_stage,retry_recommended,last_collection_pass,elapsed_seconds,security_budget_seconds,network_request_count,cache_hit_count,retry_count,timeout_count,mapping_review_required
SEC_00064f6d8950,SNGYO,SNGYO,2020-03-13,2026-07-29,COMPLETE,COMPLETE,COMPLETE,COMPLETE,snap_3cf2e12ae7a8fa5a_r0001_3fcc1965ee24|snap_92ed2a2eb1936b23_r0001_ad225f186cc3,snap_bf4397cacad8f98c_r0001_29f4f0443d02,,,,2020-03-13,2026-07-29,1596,,,True,,,,,False,1,0.07372019998729229,1200.0,0,3,0,0,True
SEC_01101a451dad,ALKLC,ALKLC,2020-03-13,2026-07-29,FAILED,COMPLETE,COMPLETE,PARTIAL,snap_11332b5526215b5d_r0002_4a880fe04cc5|snap_ce0d7c44b29ecf68_r0003_a9b59d42b68c,snap_6e2474920896500b_r0001_6914b82643a7,,,,2024-06-04,2026-07-29,540,,,False,ISYATIRIM,TIME_BUDGET_EXCEEDED,ticker=ALKLC; start=2020-03-13; end=2020-06-12; attempts=5; chunk_months=3; error_type=TransientProviderError; cache_used=false; error=Provider returned an empty 'value' list | ticker=ALKLC; start=2020-06-13; end=2020-09-12; attempts=5; chunk_months=3; error_type=TransientProviderError; cache_used=false; error=Provider returned an empty 'value' list | ticker=ALKLC; start=2020-09-13; end=2020-12-12; attempts=5; chunk_months=3; error_type=TransientProviderError; cache_used=false; error=Provider returned an empty 'value' list | ticker=ALKLC; start=2020-12-13; end=2021-03-12; attempts=5; chunk_months=3; error_type=TransientProviderError; cache_used=false; error=Provider returned an empty 'value' list | ticker=ALKLC; start=2021-03-13; end=2021-06-12; attempts=5; chunk_months=3; error_type=TransientProviderError; cache_used=false; error=Provider returned an empty 'value' list | ticker=ALKLC; start=2021-06-13; end=2021-09-12; attempts=5; chunk_months=3; error_type=TransientProviderError; cach,YFINANCE_NOMINAL,True,1,1200.0692579000024,1200.0,133,2,106,0,True
SEC_013bd44cb6f7,IZENR,IZENR,2020-03-13,2026-07-29,PARTIAL,COMPLETE,COMPLETE,PARTIAL,snap_576b5e2304470fd9_r0002_99ea1f4ea625|snap_f476d91539722da6_r0001_6c92fa495254,snap_467b8c9f90931901_r0001_a65ee950f7ee,,,,2023-08-16,2026-07-29,742,,,False,ISYATIRIM,IsYatirimFetchError,ticker=IZENR; start=2020-03-13; end=2020-06-12; attempts=5; chunk_months=3; error_type=TransientProviderError; cache_used=false; error=Provider returned an empty 'value' list | ticker=IZENR; start=2020-06-13; end=2020-09-12; attempts=5; chunk_months=3; error_type=TransientProviderError; cache_used=false; error=Provider returned an empty 'value' list | ticker=IZENR; start=2020-09-13; end=2020-12-12; attempts=5; chunk_months=3; error_type=TransientProviderError; cache_used=false; error=Provider returned an empty 'value' list | ticker=IZENR; start=2020-12-13; end=2021-03-12; attempts=5; chunk_months=3; error_type=TransientProviderError; cache_used=false; error=Provider returned an empty 'value' list | ticker=IZENR; start=2021-03-13; end=2021-06-12; attempts=5; chunk_months=3; error_type=TransientProviderError; cache_used=false; error=Provider returned an empty 'value' list | ticker=IZENR; start=2021-06-13; end=2021-09-12; attempts=5; chunk_months=3; error_type=TransientProviderError; cach,YFINANCE_NOMINAL,True,1,1189.6555959999096,1200.0,105,6,84,0,True
SEC_0216f2eb2517,AKENR,AKENR,2020-03-13,2026-07-29,COMPLETE,COMPLETE,COMPLETE,COMPLETE,snap_328346da7396a3c8_r0001_34ec90da55ca|snap_aa4868e9577b9838_r0001_764379802036,snap_ad9767c23e315a57_r0001_9245938aed4c,,,,2020-03-13,2026-07-29,1596,,,True,,,,,False,1,0.0641314999666065,1200.0,0,3,0,0,True
SEC_02ba05412e2f,TRILC,TRILC,2020-03-13,2026-07-29,COMPLETE,COMPLETE,COMPLETE,COMPLETE,snap_8e0876ec8430645f_r0001_5f01f2fad826|snap_c4339b6006c9cd9b_r0001_0f41ae01cfc5,snap_edc64b54873bd7fc_r0001_0db5a8d6f0d5,,,,2021-03-05,2026-07-29,1352,,,True,,,,,False,1,0.07108479994349182,1200.0,0,3,0,0,True
SEC_02c07712da92,BAGFS,BAGFS,2020-03-13,2026-07-29,COMPLETE,COMPLETE,COMPLETE,COMPLETE,snap_ae678b4f109d33eb_r0001_4bc61e08185a|snap_e1ec85d044506c73_r0001_00d3bf464864,snap_51ee708d25a2d921_r0001_0ce4eb19e1f0,,,,2020-03-13,2026-07-29,1596,,,True,,,,,False,1,0.06027789996005595,1200.0,0,3,0,0,True
SEC_035c1c8b4282,TSKB,TSKB,2020-03-13,2026-07-29,COMPLETE,COMPLETE,COMPLETE,COMPLETE,snap_4f401e62c8acefd7_r0001_6ea3147980d6|snap_e31600b04e7e5730_r0001_4c262edc5034,snap_3664ee8edaab3ea5_r0001_02569d663587,,,,2020-03-13,2026-07-29,1596,,,True,,,,,False,1,0.07837660005316138,1200.0,0,3,0,0,True
SEC_041fa4435035,DARDL,DARDL,2020-03-13,2026-07-29,COMPLETE,COMPLETE,COMPLETE,COMPLETE,snap_4d39e2ff6bb28dee_r0001_8b3f8d242abe|snap_9f38fcfb25d703d2_r0001_903dc93f9d39,snap_199c32b147b8f7ba_r0001_4255b874cd55,,,,2020-03-13,2026-07-29,1596,,,True,,,,,False,1,0.06539899995550513,1200.0,0,3,0,0,True
SEC_0478adf9cc5d,KTSKR,KTSKR,2020-03-13,2026-07-29,PARTIAL,COMPLETE,COMPLETE,PARTIAL,snap_de2ca9ac3f12629c_r0002_63598a1695af|snap_f29db63cfbc2dd38_r0001_04b30545f9ce,snap_4ea8b94199df6368_r0001_e3896f36b8e6,,,,2021-07-08,2026-07-29,1266,,,False,ISYATIRIM,IsYatirimFetchError,ticker=KTSKR; start=2020-03-13; end=2020-06-12; attempts=5; chunk_months=3; error_type=TransientProviderError; cache_used=false; error=Provider returned an empty 'value' list | ticker=KTSKR; start=2020-06-13; end=2020-09-12; attempts=5; chunk_months=3; error_type=TransientProviderError; cache_used=false; error=Provider returned an empty 'value' list | ticker=KTSKR; start=2020-09-13; end=2020-12-12; attempts=5; chunk_months=3; error_type=TransientProviderError; cache_used=false; error=Provider returned an empty 'value' list | ticker=KTSKR; start=2020-12-13; end=2021-03-12; attempts=5; chunk_months=3; error_type=TransientProviderError; cache_used=false; error=Provider returned an empty 'value' list,YFINANCE_NOMINAL,True,1,361.2999150000978,1200.0,35,8,28,0,True
SEC_04820ecce2f2,PAGYO,PAGYO,2020-03-13,2026-07-29,COMPLETE,COMPLETE,COMPLETE,COMPLETE,snap_0b303ac2c1ba9324_r0001_c363e7b0f388|snap_cea651960f0dd41f_r0001_30210bb10a18,snap_fe546e3cdec8b3ef_r0001_d351e9915236,,,,2020-03-13,2026-07-29,1596,,,True,,,,,False,1,0.07609680003952235,1200.0,0,3,0,0,True
