security_id,current_ticker,provider_ticker,period_start,period_end,mapping_status,mapping_rule_id,isyatirim_symbol,yfinance_symbol,collection_status,notes
SEC_00064f6d8950,SNGYO,SNGYO,2020-03-13,2026-07-29,AUTO_NEW_TICKER,,SNGYO,SNGYO.IS,PLANNED,First trading date will be resolved during market-data collection.
SEC_01101a451dad,ALKLC,ALKLC,2020-03-13,2026-07-29,AUTO_NEW_TICKER,,ALKLC,ALKLC.IS,PLANNED,First trading date will be resolved during market-data collection.
SEC_013bd44cb6f7,IZENR,IZENR,2020-03-13,2026-07-29,AUTO_NEW_TICKER,,IZENR,IZENR.IS,PLANNED,First trading date will be resolved during market-data collection.
SEC_0216f2eb2517,AKENR,AKENR,2020-03-13,2026-07-29,AUTO_NEW_TICKER,,AKENR,AKENR.IS,PLANNED,First trading date will be resolved during market-data collection.
SEC_02ba05412e2f,TRILC,TRILC,2020-03-13,2026-07-29,AUTO_NEW_TICKER,,TRILC,TRILC.IS,PLANNED,First trading date will be resolved during market-data collection.
SEC_02c07712da92,BAGFS,BAGFS,2020-03-13,2026-07-29,AUTO_NEW_TICKER,,BAGFS,BAGFS.IS,PLANNED,First trading date will be resolved during market-data collection.
SEC_035c1c8b4282,TSKB,TSKB,2020-03-13,2026-07-29,AUTO_NEW_TICKER,,TSKB,TSKB.IS,PLANNED,First trading date will be resolved during market-data collection.
SEC_041fa4435035,DARDL,DARDL,2020-03-13,2026-07-29,AUTO_NEW_TICKER,,DARDL,DARDL.IS,PLANNED,First trading date will be resolved during market-data collection.
SEC_0478adf9cc5d,KTSKR,KTSKR,2020-03-13,2026-07-29,AUTO_NEW_TICKER,,KTSKR,KTSKR.IS,PLANNED,First trading date will be resolved during market-data collection.
SEC_04820ecce2f2,PAGYO,PAGYO,2020-03-13,2026-07-29,AUTO_NEW_TICKER,,PAGYO,PAGYO.IS,PLANNED,First trading date will be resolved during market-data collection.
SEC_056160ae882f,AVPGY,AVPGY,2020-03-13,2026-07-29,AUTO_NEW_TICKER,,AVPGY,AVPGY.IS,PLANNED,First trading date will be resolved during market-data collection.
SEC_05b1c9a47ec9,ONRYT,ONRYT,2020-03-13,2026-07-29,AUTO_NEW_TICKER,,ONRYT,ONRYT.IS,PLANNED,First trading date will be resolved during market-data collection.
SEC_060d417d1735,DUNYH,DUNYH,2020-03-13,2026-07-29,AUTO_NEW_TICKER,,DUNYH,DUNYH.IS,PLANNED,First trading date will be resolved during market-data collection.
SEC_0613c2808930,IZMDC,IZMDC,2020-03-13,2026-07-29,AUTO_NEW_TICKER,,IZMDC,IZMDC.IS,PLANNED,First trading date will be resolved during market-data collection.
SEC_06794db3b40f,CELHA,CELHA,2020-03-13,2026-07-29,AUTO_NEW_TICKER,,CELHA,CELHA.IS,PLANNED,First trading date will be resolved during market-data collection.
SEC_06e6e10559a8,MANAS,MANAS,2020-03-13,2026-07-29,AUTO_NEW_TICKER,,MANAS,MANAS.IS,PLANNED,First trading date will be resolved during market-data collection.
SEC_07c2c7d723d2,EUHOL,EUHOL,2020-03-13,2026-07-29,AUTO_NEW_TICKER,,EUHOL,EUHOL.IS,PLANNED,First trading date will be resolved during market-data collection.
