current_ticker,candidate_historical_ticker,candidate_reason,possible_transition_date,evidence_status,official_source_name,official_source_reference,official_source_url,review_status,notes
A1CAP,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a1416e696301416f37201c5f2e:A1CAP,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
A1YEN,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:8acae2c5794d3d66017a62a693be689d:A1YEN,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AAGYO,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:8acae2c49c81f743019d2dfb40633db8:AAGYO,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ACSEL,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:4028e4a2420327a4014209c55161144d:ACSEL,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ADEL,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:4028e4a240e8d16e0140e8f159dc0033:ADEL,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ADESE,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:4028e4a140f2ed720141164431b905a5:ADESE,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ADGYO,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:8acae2c586d22c53018a737800f804ae:ADGYO,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AEFES,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a140e95bea0140ed2fde10009d:AEFES,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AFYON,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:4028e4a24158e42401415af83d607fd3:AFYON,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AGESA,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a140e95bea0140edeb7a54015d:AGESA,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AGHOL,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a240f2ef4c014101b18dc000f7:AGHOL,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AGROT,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:8acae2c48b2fa259018bb9e449415e84:AGROT,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AGYO,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b91b463f54:4028e4a240f2ef4c0141164a06d8043a:AGYO,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AHGAZ,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a14203278a0142095715f914d0:AHGAZ,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AHSGY,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:8acae2c59145e00a01915a44a01d1179:AHSGY,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AKBNK,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a240e8d1830140e905edcd0006:AKBNK,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AKCNS,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a140e8cfa00140e92b0c380016:AKCNS,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AKENR,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:4028e4a14184e9cf01419bffce0b5a69:AKENR,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AKFGY,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a141733b56014183c1c6ed426e:AKFGY,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AKFIS,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:8acae2c59145e00a0192aedf5db86688:AKFIS,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AKFYE,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:8acae2c48304fe9e0186a66e7a9568ea:AKFYE,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AKGRT,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a140e95be70140ed12e1f4002c:AKGRT,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AKHAN,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:8acae2c49b85f8ce019beef9720d5cc5:AKHAN,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AKMGY,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:4028e4a240e95dc30140ecc218b30032:AKMGY,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AKSA,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a240f2ef470141175e189f0453:AKSA,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AKSEN,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a241733d42014179341a147ddb:AKSEN,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AKSGY,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a14158e41f01415a865c0e4d13:AKSGY,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AKSUE,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:4028e4a140f2ed7201413a20480e0851:AKSUE,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
AKYHO,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b91b463f54:4028e4a1415f4d9901416dc64bd161cb:AKYHO,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ALARK,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a241462fd80141500c738e36be:ALARK,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ALBRK,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a240f2ef4c014106a1c5ef016d:ALBRK,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ALBTN,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:8acae2c49f52d9d8019f6edc29f30cc2:ALBTN,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ALCAR,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:4028e4a241558bd9014155e085e305fd:ALCAR,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ALCTL,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:4028e4a140f2ed71014110e38acb01b5:ALCTL,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ALFAS,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:8acae2c5830502c30183559e2336223e:ALFAS,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ALGYO,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a241462fd801415005df1c3612:ALGYO,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ALKA,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:4028e4a2416e697d01416f39965a5eb5:ALKA,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ALKIM,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:4028e4a140e95be70140ed147846003c:ALKIM,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ALKLC,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:8acae2c48c3efac0018fabe7ce965048:ALKLC,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ALTNY,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:8acae2c58b2fa64e018f3d2d712476e2:ALTNY,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ALVES,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:8acae2c58b2fa64e018dc0263b1377aa:ALVES,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ANELE,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:4028e4a1416e696301416ecd11a12b86:ANELE,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ANGEN,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:8acae2c47afb298b017bed9f037a7185:ANGEN,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ANHYT,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a140e95be70140ed40cb930098:ANHYT,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ANSGR,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a140e95bea0140ed21b5c10078:ANSGR,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ARASE,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:8acae2c47afb298b017ccb97632144e5:ARASE,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ARCLK,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a240e95dc90140ed55b43900cf:ARCLK,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ARDYZ,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:8acae2c46d7599a6016dde9d93aa2b52:ARDYZ,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ARENA,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:4028e4a140e95bea0140ed5af3a000da:ARENA,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ARFYE,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:8acae2c4998f24d8019b3576c66b77ad:ARFYE,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ARMGD,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:8acae2c59145e00e0193f29ce775161c:ARMGD,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ARSAN,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:4028e4a14158e41f01415b1862696142:ARSAN,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ARTMS,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:8acae2c48c3efac0018dd4c742665c88:ARTMS,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ARZUM,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:33E5FED802CC00EAE0530A4A622B2AEA:4028e4a1415f4d990141600875c531b9:ARZUM,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ASELS,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a1413b7ef401413bc2251e0047:ASELS,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ASGYO,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:8acae2c562329bd1016464c3796e08a0:ASGYO,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ASTOR,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:8acae2c562329bd10164405fe6c17996:ASTOR,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
ASUZU,,No official historical ticker transition was present in V1 inputs.,,NO_OFFICIAL_TRANSITION_EVIDENCE,KAP_MARKETS,KAP_MARKET:4028328c550642950155066367d0001b:4028328c6d92933b016e21b838963f42:4028e4a140e95be70140ed43c4fe00a9:ASUZU,https://www.kap.org.tr/tr/Pazarlar,NO_HISTORICAL_TICKER_FOUND,Collection continues under the current ticker; no alias was inferred.
